bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,day,month,year,price
4,1.75,1920,9500,1.0,0,0,4,7,1470,450,1966,0,98006,47.5683,-122.177,1820,10091,4,11,2014,481000.0
3,1.75,1460,9998,1.0,0,0,3,7,960,500,1958,0,98028,47.7434,-122.242,1460,9998,23,4,2015,446000.0
3,1.75,2910,35200,1.5,0,0,3,8,2910,0,1979,0,98075,47.5747,-122.035,2590,37500,2,5,2014,550000.0
4,2.25,2770,13500,2.0,0,0,3,8,2770,0,1974,0,98040,47.543,-122.231,2300,13500,13,6,2014,890000.0
2,2.0,1310,2550,2.0,0,0,3,6,1310,0,2004,0,98038,47.3496,-122.022,1310,2550,16,9,2014,219000.0
3,2.25,3060,9950,1.5,0,2,4,9,1810,1250,1930,0,98144,47.579,-122.284,4950,10655,24,6,2014,970000.0
4,2.0,2170,5404,1.5,0,0,5,6,1470,700,1920,0,98002,47.3046,-122.22,1030,5477,10,2,2015,250000.0
3,2.25,1610,10454,1.0,0,0,3,7,1610,0,1977,0,98148,47.4517,-122.331,1720,9583,12,9,2014,280000.0
4,4.5,5670,84267,2.0,0,2,3,11,5670,0,2008,0,98010,47.323,-122.044,4100,83729,2,2,2015,935000.0
3,2.0,1310,8069,1.0,0,0,3,7,1310,0,1990,0,98042,47.3694,-122.083,1310,8392,4,9,2014,240000.0
3,1.5,1390,48257,1.0,0,0,3,6,1390,0,1922,2013,98024,47.5603,-121.894,1440,45302,9,5,2014,275000.0
3,2.0,1880,4000,1.0,0,2,3,8,1280,600,1950,0,98199,47.6375,-122.391,1920,4000,15,7,2014,625000.0
3,2.5,1740,2226,2.0,0,0,3,8,1320,420,2008,0,98106,47.525,-122.366,1740,1789,14,8,2014,342000.0
3,1.5,1740,21980,1.0,0,0,4,7,1740,0,1973,0,98042,47.3644,-122.132,1400,16100,16,4,2015,339000.0
